BALANCE,BALANCE_FREQUENCY,CASH_ADVANCE,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,CREDIT_LIMIT,CUST_ID,Fylld_Minimum_Payments,Index (kluster),Index,INSTALLMENTS_PURCHASES,MINIMUM_PAYMENTS,ONEOFF_PURCHASES,PAYMENTS,ONEOFF_PURCHASES_FREQUENCY,PRC_FULL_PAYMENT,PURCHASES_INSTALLMENTS_FREQUENCY,PURCHASES_FREQUENCY,PURCHASES,PURCHASES_TRX,TENURE
6593.820644,1,4621.93458,0.416667,7,7000,C10083,2503.40234,Kluster2,80,0,2503.40234,388.66,1624.583114,0.583333,0,0,0.583333,388.66,7,12
17.357563,0.909091,0,0,0,5000,C10084,121.523416,Kluster1,81,204.64,121.523416,40.21,357.802082,0.166667,0.181818,0.583333,0.666667,244.85,13,12
81.584711,0.272727,2985.300006,0.166667,5,9500,C10085,164.692136,Kluster1,82,0,164.692136,0,116.569033,0,0,0,0,0,0,12
3.78631,0.636364,0,0,0,12000,C10086,99.533735,Kluster1,83,104.85,99.533735,28.2,210.053432,0.166667,0.444444,0.25,0.416667,133.05,5,12
42.46443,0.545455,0,0,0,1200,C10087,140.809454,Kluster1,84,396,140.809454,0,725.606194,0,1,0.416667,0.5,396,12,12
1935.362486,1,293.844792,0.083333,1,9000,C10088,594.756686,Kluster1,85,400.26,594.756686,4515.34,4921.066897,1,0,0.333333,1,4915.6,50,12
134.917202,1,0,0,0,16500,C10089,171.357189,Kluster1,86,0,171.357189,1247.8,1275.229436,1,1,0,1,1247.8,22,12
7069.950386,1,5626.004046,0.75,23,11000,C10090,1876.262988,Kluster2,87,158.64,1876.262988,1445.14,4589.873897,0.833333,0,1,1,1603.78,23,12
8181.251131,1,5251.228934,0.75,21,13500,C10092,2074.581541,Kluster2,88,939.23,2074.581541,1318.78,3021.575846,0.75,0,1,1,2258.01,60,12
4037.305658,1,104.238064,0.083333,1,4500,C10093,968.941265,Kluster2,89,0,968.941265,45,1073.844885,0.083333,0,0,0.083333,45,1,12
6110.265264,1,2717.253917,0.416667,14,6500,C10094,2864.380327,Kluster2,90,0,2864.380327,0,1502.205631,0,0,0,0,0,0,12
9381.255094,1,370.737197,0.083333,1,9000,C10095,9827.045323,Kluster2,91,3952.24,9827.045323,1147.83,6409.496345,0.25,0,0.916667,1,5100.07,46,12
1977.00709,1,4335.919227,0.545455,21,4000,C10096,910.707525,Kluster1,92,805.14,910.707525,226.9,3056.424974,0.090909,0.090909,0.818182,0.909091,1032.04,17,11
1321.47608,1,495.657934,0.083333,1,1800,C10097,312.560636,Kluster1,93,0,312.560636,45.65,440.840439,0.083333,0,0,0.083333,45.65,1,12
1307.717841,1,0,0,0,2400,C10098,1297.11,Kluster1,94,0,1297.11,405.6,0,0.166667,0,0,0.166667,405.6,2,12
2329.485768,1,0,0,0,2400,C10099,1297.11,Kluster1,95,0,1297.11,213.34,0,0.25,0,0,0.25,213.34,3,12
1139.782882,1,120.612912,0.083333,1,1200,C10100,2906.110765,Kluster1,96,0,2906.110765,0,151.823651,0,0,0,0,0,0,12
1619.955708,1,0,0,0,6000,C10101,389.138517,Kluster1,97,0,389.138517,739.44,417.128532,0.666667,0,0,0.666667,739.44,11,12
3505.671311,1,1713.984305,0.5,6,4000,C10102,1297.11,Kluster2,98,0,1297.11,0,0,0,0,0,0,0,0,12
4.708041,0.363636,0,0,0,7000,C10103,121.781205,Kluster1,99,79,121.781205,0,217.820198,0,1,0.166667,0.25,79,3,12
0,0,89.849004,0.142857,1,3000,C10104,1297.11,Kluster1,100,0,1297.11,0,138.021428,0,0,0,0,0,0,7
4.875885,0.666667,0,0,0,1500,C10105,60.913577,Kluster1,101,0,60.913577,20,26.487919,0.111111,0,0,0.111111,20,1,9
23.394411,0.272727,0,0,0,2000,C10106,54.79166,Kluster1,102,1346.28,54.79166,0,712.149153,0,0,1,1,1346.28,12,12
3539.801912,1,0,0,0,5700,C10107,2103.796148,Kluster2,103,1283.39,2103.796148,1540.41,9172.788366,0.916667,0.083333,0.833333,0.916667,2823.8,75,12
0.62424,0.090909,0,0,0,4500,C10108,1297.11,Kluster1,104,389.96,1297.11,0,0,0,0,1,1,389.96,31,12
862.07238,1,920.309805,0.083333,1,4000,C10109,214.828158,Kluster1,105,0,214.828158,0,2236.890255,0,0.083333,0,0,0,0,12
2441.542991,1,959.857263,0.333333,6,4000,C10110,1026.976,Kluster1,106,0,1026.976,808,532.741699,0.25,0,0,0.25,808,4,12
408.656365,1,0,0,0,2500,C10111,176.610605,Kluster1,107,941.64,176.610605,0,1097.78942,0,0.083333,1,1,941.64,12,12
4986.400804,1,5439.467563,0.583333,40,8000,C10112,1439.230899,Kluster2,108,0,1439.230899,0,1241.538024,0,0,0,0,0,0,12
1246.624558,1,412.399058,0.083333,2,2000,C10113,498.365419,Kluster1,109,246.06,498.365419,177.64,577.050373,0.166667,0,0.5,0.666667,423.7,10,12
6644.201651,1,7205.520805,0.583333,21,9000,C10114,2469.571326,Kluster2,110,1757.16,2469.571326,2721.59,10857.94321,0.916667,0.083333,1,1,4478.75,64,12
156.216753,0.818182,0,0,0,5500,C10115,108.319927,Kluster1,111,769.23,108.319927,585.63,858.976682,0.333333,0,0.833333,0.916667,1354.86,34,12
3393.351236,1,1008.348672,0.083333,2,4200,C10116,1297.11,Kluster2,112,0,1297.11,0,0,0,0,0,0,0,0,12
5322.994094,1,2510.352951,0.333333,8,8500,C10117,1834.031569,Kluster2,113,1955.08,1834.031569,857.12,1509.423237,0.25,0,1,1,2812.2,81,12
6458.56209,1,3360.228794,0.25,11,7000,C10118,2760.115734,Kluster2,114,0,2760.115734,0,1277.76778,0,0,0,0,0,0,12
175.341651,0.818182,0,0,0,5000,C10119,136.639824,Kluster1,115,256.54,136.639824,1252.36,1884.227778,0.416667,1,0.333333,0.666667,1508.9,14,12
680.195157,1,0,0,0,3000,C10120,207.720441,Kluster1,116,377.62,207.720441,667.95,552.432305,0.583333,0,1,1,1045.57,25,12
223.763616,0.636364,0,0,0,6500,C10121,99.372848,Kluster1,117,2309.78,99.372848,0,1206.81188,0,0.333333,0.5,0.583333,2309.78,12,12
1785.626943,1,576.206382,0.25,10,1800,C10122,2439.136113,Kluster1,118,0,2439.136113,0,687.691735,0,0,0,0,0,0,12
54.933231,0.272727,0,0,0,7000,C10123,147.049952,Kluster1,119,495,147.049952,0,1969.845566,0,1,0.166667,0.166667,495,2,12
2662.629852,1,509.023801,0.333333,4,3000,C10124,709.207016,Kluster1,120,0,709.207016,0,932.418855,0,0,0,0,0,0,12
8504.876253,1,1686.599777,0.5,10,17000,C10125,2167.446204,Kluster2,121,2624.18,2167.446204,4100.08,1888.756861,0.916667,0,1,1,6724.26,85,12
1464.324632,1,0,0,0,9000,C10126,1297.11,Kluster1,122,0,1297.11,1174.39,0,0.25,0,0,0.25,1174.39,8,12
2114.158683,1,0,0,0,8500,C10127,630.00413,Kluster1,123,5580.85,630.00413,0,3564.977774,0,0,1,1,5580.85,75,12
2876.396444,1,998.84867,0.166667,2,3200,C10128,1412.648089,Kluster1,124,0,1412.648089,0,1065.426905,0,0,0,0,0,0,12
14224.11541,1,4614.427403,0.333333,9,19000,C10130,3406.258999,Kluster2,125,0,3406.258999,0,3066.614272,0,0,0,0,0,0,12
2392.917738,1,0,0,0,2800,C10131,2000.990921,Kluster1,126,0,2000.990921,12462.44,11628.71557,0.916667,0,0,0.916667,12462.44,217,12
57.453201,0.75,272.713302,0.125,1,1200,C10132,84.697292,Kluster1,127,0,84.697292,0,385.853874,0,0.166667,0,0,0,0,8
4245.855092,1,0,0,0,5000,C10133,1086.428906,Kluster2,128,880,1086.428906,1077.3,1004.35474,0.166667,0,0.583333,0.833333,1957.3,19,12
11167.23403,1,8362.154254,0.5,14,17000,C10134,2894.077159,Kluster2,129,0,2894.077159,150.64,2606.059389,0.083333,0,0,0.083333,150.64,1,12
69.405545,0.090909,2799.714934,0.083333,3,13000,C10135,1297.11,Kluster1,130,0,1297.11,0,0,0,0,0,0,0,0,12
116.654149,0.272727,273.558033,0.083333,1,5000,C10136,1297.11,Kluster1,131,0,1297.11,907,0,0.25,0,0,0.25,907,8,12
4637.848144,1,0,0,0,5000,C10137,3572.279251,Kluster2,132,919.58,3572.279251,351.54,1906.032044,0.25,0,0.833333,0.833333,1271.12,33,12
24.28497,0.636364,0,0,0,3000,C10138,173.632006,Kluster1,133,250.6,173.632006,0,319.762903,0,0,0.5,0.583333,250.6,7,12
9354.06045,1,13748.47131,0.666667,16,13000,C10139,2600.875721,Kluster2,134,0,2600.875721,796.33,10664.65866,0.083333,0.083333,0,0.083333,796.33,1,12
231.108995,1,0,0,0,4000,C10140,185.091037,Kluster1,135,440,185.091037,0,554.116542,0,0,0.916667,0.916667,440,22,12
1562.633343,1,0,0,0,2000,C10141,709.610053,Kluster1,136,160.99,709.610053,1169.63,1020.783647,0.166667,0,0.25,0.5,1330.62,8,12
2494.868559,1,0,0,0,17000,C10142,615.92402,Kluster1,137,4101.29,615.92402,1390.5,1015.311953,0.5,0,1,1,5491.79,52,12
706.132889,1,586.268966,0.25,3,1200,C10143,184.524376,Kluster1,138,183.34,184.524376,714.52,972.358048,0.333333,0,0.916667,0.916667,897.86,18,12
19043.13856,1,0,0,0,18000,C10144,18621.01331,Kluster2,139,12560.85,18621.01331,9449.07,23018.57583,0.75,0,1,1,22009.92,216,12
2235.103331,1,723.308724,0.083333,1,2500,C10145,689.118919,Kluster1,140,0,689.118919,720.6,1061.292471,1,0,0,1,720.6,12,12
947.13081,1,0,0,0,1000,C10146,509.384182,Kluster1,141,48.4,509.384182,148.66,492.200419,0.25,0,0.166667,0.333333,197.06,5,12
764.042156,0.818182,1307.102516,0.166667,3,7500,C10147,172.959728,Kluster1,142,0,172.959728,0,1566.806897,0,0,0,0,0,0,12
5347.814547,1,4002.353384,0.5,9,7000,C10148,1297.11,Kluster2,143,0,1297.11,0,0,0,0,0,0,0,0,12
10598.46777,1,0,0,0,21500,C10149,3068.125648,Kluster2,144,784,3068.125648,1300.48,3219.621433,0.416667,0,0.583333,0.666667,2084.48,13,12
2163.678757,1,0,0,0,6500,C10150,546.439139,Kluster1,145,2342.83,546.439139,3436.53,4416.41268,1,0,1,1,5779.36,97,12
3057.400553,1,0,0,0,7500,C10151,819.682666,Kluster1,146,0,819.682666,1025,698.854095,0.083333,0,0,0.083333,1025,2,12
19.354559,0.909091,0,0,0,10000,C10152,1297.11,Kluster1,147,689.7,1297.11,0,746.691026,0,0,0.833333,0.833333,689.7,10,12
264.811595,1,384.26178,0.083333,1,9000,C10153,194.324456,Kluster1,148,0,194.324456,28.65,1235.630069,0.083333,0.083333,0,0.083333,28.65,1,12
1108.22253,0.909091,0,0,0,1500,C10154,992.652486,Kluster1,149,780,992.652486,164.96,1955.198953,0.25,0,0.416667,0.5,944.96,9,12
906.573724,1,103.102091,0.083333,1,13500,C10155,468.196732,Kluster1,150,959.2,468.196732,80,1855.235407,0.083333,0.083333,0.833333,0.833333,1039.2,11,12
7679.62904,1,555.469352,0.166667,7,7000,C10156,12854.9397,Kluster2,151,4059.93,12854.9397,0,3685.61062,0,0,0.5,0.583333,4059.93,14,12
1523.911458,1,0,0,0,6500,C10157,329.29648,Kluster1,152,753.09,329.29648,3322.28,2254.26002,1,0,1,1,4075.37,31,12
49.206256,1,0,0,0,8000,C10158,193.011166,Kluster1,153,870.24,193.011166,0,835.839952,0,1,1,1,870.24,24,12
13673.07961,1,2444.445738,0.75,26,20000,C10159,6042.391629,Kluster2,154,5832.42,6042.391629,3959.81,11717.30794,0.75,0,1,1,9792.23,216,12
106.455975,0.636364,0,0,0,4000,C10160,95.342224,Kluster1,155,1673.59,95.342224,789.53,2573.722764,0.5,0.636364,1,1,2463.12,46,12
119.760904,0.363636,0,0,0,20000,C10161,288.903628,Kluster1,156,1859.34,288.903628,0,3104.275623,0,0.25,0.25,0.333333,1859.34,4,12
5837.105453,1,3303.1523,0.75,15,7900,C10162,1297.11,Kluster2,157,226.24,1297.11,3262.25,0,1,0,0.5,1,3488.49,46,12
1734.510004,1,66.275851,0.166667,2,1800,C10163,2827.997525,Kluster1,158,0,2827.997525,0,363.474455,0,0,0,0,0,0,12
2765.748281,1,0,0,0,11000,C10164,1058.128452,Kluster1,159,2196,1058.128452,5087.31,14373.3929,1,0.25,0.666667,1,7283.31,77,12
1046.37041,1,93.579809,0.083333,1,1200,C10165,362.838185,Kluster1,160,0,362.838185,295,439.407082,0.083333,0,0,0.083333,295,2,12
2737.367678,1,429.691164,0.416667,5,3000,C10166,721.798576,Kluster1,161,0,721.798576,0,778.827993,0,0,0,0,0,0,12
4014.818167,1,988.356213,0.083333,1,8500,C10167,1177.149934,Kluster2,162,0,1177.149934,0,1009.185035,0,0,0,0,0,0,12
871.568977,1,0,0,0,1200,C10168,208.298424,Kluster1,163,533.22,208.298424,115,1110.886425,0.083333,0,1,1,648.22,27,12
1610.040203,1,0,0,0,4000,C10169,616.005839,Kluster1,164,31.55,616.005839,525.64,422.711848,0.083333,0,0.166667,0.25,557.19,5,12
114.593817,1,0,0,0,1000,C10170,86.102479,Kluster1,165,469.98,86.102479,0,367.109312,0,0.5,0.833333,1,469.98,6,6
5800.587339,1,369.950794,0.083333,1,6500,C10171,1972.526015,Kluster2,166,0,1972.526015,0,1346.365584,0,0,0,0,0,0,12
823.103926,0.363636,0,0,0,8000,C10172,243.199498,Kluster1,167,131.64,243.199498,0,2916.071564,0,0,1,1,131.64,12,12
595.677343,1,1424.442602,0.083333,1,15000,C10173,241.894073,Kluster1,168,747.61,241.894073,4330.53,4756.654374,0.666667,0.916667,0.75,0.916667,5078.14,42,12
1128.124563,1,0,0,0,1000,C10174,1747.037345,Kluster1,169,924.6,1747.037345,0,1202.711782,0,0,1,1,924.6,12,12
349.441102,1,0,0,0,4000,C10175,167.219681,Kluster1,170,581.9,167.219681,1393.5,1795.012223,0.416667,0,0.333333,0.666667,1975.4,17,12
840.804076,0.666667,3671.777443,0.222222,5,4000,C10176,193.171404,Kluster1,171,0,193.171404,0,3621.266477,0,0,0,0,0,0,9
975.942008,1,1620.685551,0.583333,18,10500,C10177,347.641073,Kluster1,172,3079.97,347.641073,7141.38,10693.49585,1,0.75,0.833333,1,10221.35,130,12
23.111088,0.363636,0,0,0,12500,C10178,43.452683,Kluster1,173,300,43.452683,0,291.948834,0,0.181818,0.166667,0.25,300,3,12
2187.732265,0.857143,3905.326256,0.285714,9,3000,C10179,461.365626,Kluster1,174,0,461.365626,0,1423.788603,0,0.2,0,0,0,0,7
11972.01104,1,1626.351366,0.166667,3,14000,C10180,3192.306018,Kluster2,175,1029.46,3192.306018,4685.54,4639.513745,1,0,1,1,5715,90,12
1608.451822,1,205.737165,0.166667,2,1800,C10181,408.799147,Kluster1,176,0,408.799147,0,470.565984,0,0,0,0,0,0,12
1872.926275,1,1017.120578,0.25,5,2300,C10182,1297.11,Kluster1,177,0,1297.11,766.61,0,0.833333,0,0,0.833333,766.61,12,12
2933.240476,1,2040.433925,0.583333,13,3000,C10183,1739.74883,Kluster1,178,0,1739.74883,0,2431.578544,0,0,0,0,0,0,12
336.799916,1,0,0,0,20000,C10184,186.230835,Kluster1,179,1921.1,186.230835,1614.7,2814.231227,0.416667,1,0.916667,1,3535.8,44,12
36.236312,0.454545,0,0,0,5300,C10185,189.036967,Kluster1,180,256.11,189.036967,0,831.375322,0,0.166667,0.416667,0.416667,256.11,5,12
